,fips,covid_case*,population,percent_age_65_and_older,majority_race,female_to_male,high_school_graduation_rate,median_household_income,percent_adults_with_obesity,percent_smokers,violent_crime_rate,o3_mean_pred,pm25_mean_pred,mean_temp,2016_pres_election,percent_drive_alone_to_work,date_stay_at_home_effective
685,17123,43.71393600279769,11438.0,22.1,4.0,1.0082519366790166,86.5,57422.0,26.5,14.5,161.1,36.8,11.2,56.9,1.0,84.5,0.0
686,17125,119.76944382064525,13359.0,20.5,4.0,1.0011514104778354,87.0,48764.0,29.8,16.2,363.6,36.3,10.9,54.2,1.0,80.7,0.0
687,17127,43.566656985187336,13772.0,20.5,4.0,1.079806184979336,86.3,43783.0,33.4,16.2,318.1,39.1,11.0,,1.0,84.8,0.0
688,17129,139.38996392259756,12196.0,18.1,4.0,1.0421052631578946,86.9,74872.0,30.1,14.6,83.8,36.2,10.9,54.2,1.0,82.1,0.0
689,17131,90.69119647599922,15437.0,20.3,4.0,1.0171136653895274,87.4,58384.0,32.6,15.2,95.7,36.0,10.5,55.6,1.0,89.7,0.0
690,17133,259.8377457632012,34637.0,16.0,4.0,1.0343081097377147,92.9,88481.0,36.3,13.0,31.1,38.4,10.9,57.5,1.0,85.6,0.0
691,17135,137.2562821144506,28414.0,18.5,4.0,0.9194025922758077,86.1,53138.0,31.0,16.1,132.1,37.4,11.0,53.6,1.0,87.4,0.0
692,17137,103.98716501277556,33658.0,18.5,4.0,0.9886829493619724,77.7,48976.0,32.1,16.1,169.0,36.4,10.6,53.6,1.0,82.4,0.0
693,17139,55.16860906144403,14501.0,18.9,4.0,1.0508852641851387,96.1,59901.0,24.8,15.7,,37.1,11.3,53.3,1.0,78.1,0.0
694,17141,341.60693481823745,50643.0,17.1,4.0,1.0083651077737141,94.2,61794.0,37.1,15.0,71.1,37.2,11.0,56.7,1.0,81.2,0.0
695,17143,90.41238091517421,179179.0,15.0,4.0,1.063440156965337,82.2,56478.0,35.9,16.6,523.8,36.2,11.5,53.7,0.0,82.7,0.0
696,17145,191.24115509657676,20916.0,17.2,4.0,0.814317106152806,91.4,49965.0,32.1,16.1,131.5,39.0,11.1,57.4,1.0,83.4,0.0
697,17147,55.06607929515419,16344.0,18.2,4.0,1.0232701305097267,92.5,67460.0,25.2,13.4,167.2,37.4,11.4,54.0,1.0,85.3,0.0
